num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
3.0,0.02894736842105263,2.6780451171934126e-09,1.5646827454653602e-08,6.306722691641599e-13,0.0005,1.700819744206572e-06
3.0,0.03368421052631579,1.3225539630610815e-09,1.5702328641974965e-08,-1.8447310724601825e-13,0.0005,7.79568834313217e-07
3.0,0.03842105263157895,4.351042614315159e-09,1.5903782936904948e-08,-1.376969885817224e-13,0.0005,2.338706367955505e-06
3.0,0.04315789473684211,3.1027393220688836e-09,1.6617928336662338e-08,-8.872716433167327e-13,0.0005,1.257103083989243e-06
3.0,0.04789473684210527,4.016638778568848e-09,1.6121807633448096e-08,-4.5409468932510255e-13,0.0005,1.5591377000913906e-06
3.0,0.052631578947368425,6.597869592704732e-09,1.5687510241519332e-08,1.7616669652024525e-10,0.0005,2.338706415164378e-06
3.0,0.05736842105263158,7.670536290506728e-09,1.5826288342825933e-08,-9.733598518827892e-13,0.0005,2.3387065453109226e-06
3.0,0.06210526315789474,4.923400986610508e-09,1.7326922856794938e-08,-7.718756612389446e-13,0.0005,1.257103083989243e-06
3.0,0.0668421052631579,8.345845375455216e-09,1.6147288036981106e-08,-5.757519834320236e-11,0.0005,2.034321550322743e-06
3.0,0.07157894736842106,5.903380734408545e-09,1.773121592914325e-08,-7.636900447176973e-13,0.0005,1.257103083989243e-06
3.0,0.07631578947368421,3.213402806967069e-09,1.5687429484318432e-08,-7.96947865392494e-13,0.0005,7.79568834313217e-07
3.0,0.08105263157894736,8.468902178371705e-09,1.5905452550191817e-08,6.879224478844185e-10,0.0005,1.559137569944846e-06
3.0,0.08578947368421053,1.1590464181523628e-08,1.5373149297704396e-08,-2.683819078495261e-10,0.0005,1.700819745983109e-06
3.0,0.09052631578947369,9.969997740315046e-09,1.507656690359772e-08,-1.3424749438884932e-12,0.0005,1.5591377000913906e-06
3.0,0.09526315789473684,1.348172186325457e-08,1.5295482015290245e-08,-3.18742750003191e-10,0.0005,1.7008197414986686e-06
3.0,0.1,9.035604469273771e-09,1.9159309572810546e-08,-1.0099053377931311e-12,0.0005,1.2571030600607122e-06
4.0,0.01,1.2173176004484239e-09,2.0938741105783893e-08,9.561067216778906e-13,0.0005,2.205120426738898e-06
4.0,0.01473684210526316,1.0290891945624955e-09,2.1017107216093517e-08,2.3801374494733147e-14,0.0005,1.5591377000913906e-06
4.0,0.019473684210526317,1.0304599570937692e-09,2.0960380573159818e-08,-1.6307068741614844e-10,0.0005,1.2547526229384207e-06
