num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea,Reynolds number,C_d
15.0,0.001,-4.081382776641437e-10,7.750850800454407e-08,2.1071135560876448e-10,0.0005,4.239442307809842e-06,0.20589906041091696,-192.5433809594611
15.0,0.0035384615384615385,6.585748341356259e-10,7.762080636615338e-08,-8.26317933883981e-11,0.0005,5.136276467300758e-06,0.8019340897531353,20.481312116827837
15.0,0.006076923076923077,1.2115447037614036e-09,7.744598767715747e-08,-3.3828088149892544e-10,0.0005,4.798074535073754e-06,1.3311200776592813,13.675240441720081
15.0,0.008615384615384615,1.4469422317007716e-09,7.742575866187827e-08,1.7174652057284507e-12,0.0005,4.550878276033692e-06,1.8379017025721345,8.567155071857256
15.0,0.011153846153846153,1.8306235656401142e-09,7.737727927210527e-08,-5.892986743687125e-10,0.0005,4.345354621997508e-06,2.32507658367854,6.772585863748562
15.0,0.013692307692307691,3.367204165154537e-09,7.777929344424446e-08,-3.381215595527151e-10,0.0005,6.61145919881698e-06,3.5206699306622955,5.433114072533548
15.0,0.016230769230769233,2.19950254843455e-09,7.748581543792134e-08,4.1340256170880043e-10,0.0005,3.9106409749245314e-06,3.209689904141279,4.270004303963629
15.0,0.01876923076923077,3.5794035645786817e-09,7.764139203689468e-08,1.8651732998234485e-10,0.0005,6.102964442744635e-06,4.636784306172451,3.329713555710189
15.0,0.02130769230769231,4.767517980531009e-09,7.706573279353599e-08,1.113707963778935e-10,0.0005,5.72167545240722e-06,5.096805100841285,3.6705089036364145
15.0,0.023846153846153847,6.685831741496747e-09,7.710833411528907e-08,7.284102152903556e-10,0.0005,6.028410841625271e-06,5.854903785384166,3.9007302040069303
15.0,0.026384615384615385,5.1563345885811405e-09,7.737316449045679e-08,3.3654972146809983e-10,0.0005,4.651638770062436e-06,5.690543643807284,3.1846636370185855
15.0,0.028923076923076923,9.997913942655688e-09,7.719169361229474e-08,-1.2439009386947963e-09,0.0005,7.837602389551631e-06,8.097223117496018,3.049770626156453
15.0,0.031461538461538464,7.539295265102513e-09,7.735341208512286e-08,-6.126744890175892e-10,0.0005,4.845355703889233e-06,6.925366918279385,3.143946678068136
15.0,0.034,6.673082959782381e-09,7.800703599546224e-08,1.6479175013194313e-09,0.0005,4.230385345783057e-06,6.993086199758454,2.729095645980723
15.0,0.03653846153846154,7.195062034700702e-09,7.700020954430894e-08,1.8208388110497797e-10,0.0005,5.438311856459979e-06,8.520838058533355,1.981982955871294
15.0,0.03907692307692308,9.466652325890993e-09,7.812382797159923e-08,4.974564061466031e-11,0.0005,4.8501087224896465e-06,8.605896070781863,2.556431905183453
15.0,0.04161538461538462,1.1802832254086168e-08,7.648684195326547e-08,2.754611736716968e-11,0.0005,5.465077804885638e-06,9.728638979385906,2.4940896241223602
15.0,0.044153846153846155,9.68391833260485e-09,7.974546263089211e-08,-1.1127017373000047e-10,0.0005,4.205570976148634e-06,9.054845062657371,2.36221306342958
15.0,0.04669230769230769,1.1819701028840105e-08,7.86431032637701e-08,4.433838592522174e-10,0.0005,5.740346368096711e-06,11.187019313606719,1.88889454088917
15.0,0.04923076923076923,1.4297294593807736e-08,7.787759756287454e-08,-3.7404669836332477e-10,0.0005,5.773710530015763e-06,11.829438339401726,2.0434104583018518
15.0,0.05176923076923077,2.253426835292258e-08,7.774817797531614e-08,-6.278348032007316e-10,0.0005,6.882026279047698e-06,13.580941398256867,2.4435076726820486
15.0,0.05430769230769231,1.6855455983571334e-08,7.53679523819915e-08,-9.864072729450613e-10,0.0005,5.803280363342274e-06,13.082722359293088,1.9695828391540435
15.0,0.056846153846153845,2.049034407625405e-08,8.12269070619982e-08,6.297651637284616e-10,0.0005,6.4445621184254106e-06,14.431045406321942,1.9678122531918834
15.0,0.05938461538461538,1.602940260043472e-08,7.862793864674345e-08,-1.1447586611324768e-09,0.0005,6.276113919926921e-06,14.877136818235705,1.4484670442997245
15.0,0.06192307692307693,1.221960170079853e-08,7.601616557250433e-08,2.862117014103197e-10,0.0005,3.957922155023494e-06,12.319303428083959,1.6103294728247426
15.0,0.06446153846153846,1.2059215214753292e-08,7.851539540288172e-08,-1.867097620554448e-09,0.0005,3.912990904372674e-06,12.75131826263183,1.4833337234610742
15.0,0.067,1.5630309844901065e-08,7.724898221124617e-08,2.7592850461777464e-09,0.0005,4.545724235411786e-06,14.284871750479073,1.5319510606562665
15.0,0.06953846153846154,3.032637537429397e-08,7.583417388726951e-08,2.582848671039206e-09,0.0005,6.607212680775864e-06,17.87451314044289,1.898375231858718
15.0,0.07207692307692308,1.9882661564567478e-08,7.80512324491935e-08,4.52781230722135e-09,0.0005,4.712222052603433e-06,15.64620846239273,1.6243749792152924
15.0,0.07461538461538461,1.3892828725538428e-08,7.732523133658465e-08,1.7624424671014518e-09,0.0005,4.151638460332188e-06,15.203309798721161,1.2021104896623167
15.0,0.07715384615384616,2.6948238371840364e-08,7.611666315888526e-08,-7.680270030430875e-09,0.0005,5.239441347220543e-06,17.6603811438629,1.7280656260514553
15.0,0.07969230769230769,2.2657740890614665e-08,7.349023664126281e-08,-1.952368853900122e-09,0.0005,5.388173807815777e-06,18.498529279831185,1.324256761313723
15.0,0.08223076923076923,2.3345743565023436e-08,7.767619626193387e-08,-1.3977016383251806e-09,0.0005,5.604355089260273e-06,19.46691690070171,1.2320926207594793
15.0,0.08476923076923078,3.940868855030365e-08,7.886561597587596e-08,3.1798812591849022e-09,0.0005,5.965023800456676e-06,20.703526788959675,1.8387949949836866
15.0,0.08730769230769231,2.6329791490501018e-08,7.81046876444683e-08,-3.734026788043885e-10,0.0005,4.681207121387557e-06,18.88997737436738,1.4757559403431768
15.0,0.08984615384615385,2.6611234608638268e-08,7.198968158026866e-08,6.410694748825369e-10,0.0005,4.2661558012873085e-06,18.557430658745954,1.5454655425543182
15.0,0.09238461538461538,3.8622706469233906e-08,8.070016240742006e-08,-2.100681923853977e-09,0.0005,5.275608172908264e-06,21.219537865642202,1.7155400313983176
15.0,0.09492307692307693,2.3450709531083414e-08,8.224186816586124e-08,2.7338270397051175e-09,0.0005,4.6587425729984365e-06,20.48831129529873,1.1173099205302623
15.0,0.09746153846153846,3.386364752299655e-08,7.755895772195174e-08,4.645835522262706e-09,0.0005,5.302374788996319e-06,22.442357356286898,1.3447042693429914
15.0,0.1,3.116458751761228e-08,8.116281968886797e-08,-3.4880398475784273e-09,0.0005,5.377274195147533e-06,23.188950375442897,1.1591221271824035
14.0,0.001,1.5324490697006382e-10,7.25218795784419e-08,-1.0345292052370321e-11,0.0005,4.183559152600195e-06,0.20453750640408705,73.26054270073747
14.0,0.0035384615384615385,7.776249488301904e-10,7.241940428115433e-08,-9.888579845052979e-12,0.0005,5.494195103891385e-06,0.8294047498317345,22.60826031853993
14.0,0.006076923076923077,1.1017296821272148e-09,7.211157394868213e-08,1.6245406037867986e-11,0.0005,4.352007775589919e-06,1.2677352617689341,13.710329905636101
14.0,0.008615384615384615,1.7314157916131174e-09,7.214375427656525e-08,-1.1300803165295442e-10,0.0005,6.110015982949196e-06,2.129589238529078,7.635538703634932
14.0,0.011153846153846153,3.0477614290536258e-09,7.25109364583039e-08,3.9954141919641964e-10,0.0005,6.246544363100567e-06,2.787690559031008,7.843715548814531
14.0,0.013692307692307691,2.9041331180047823e-09,7.256687789982725e-08,-3.6825106600442436e-10,0.0005,5.019010746377194e-06,3.0675080618250763,6.172698852015431
14.0,0.016230769230769233,4.479492136528924e-09,7.261466544621017e-08,2.2762010217864837e-11,0.0005,5.942611755302723e-06,3.9566513391996128,5.722729397322307
14.0,0.01876923076923077,3.6669925487186897e-09,7.274085451794188e-08,-2.721384332899231e-10,0.0005,4.291423848009177e-06,3.888187316017873,4.851160738333587
14.0,0.02130769230769231,5.9112443707678285e-09,7.219172887625097e-08,1.632665528086309e-10,0.0005,6.280814876025427e-06,5.340038808352182,4.145912028492532
14.0,0.023846153846153847,6.6764140555825065e-09,7.265348311157376e-08,-8.154794842557912e-11,0.0005,6.238447839054979e-06,5.956026421178314,3.7640902447469444
14.0,0.026384615384615385,7.401688796940192e-09,7.212038867438081e-08,3.85416427531304e-10,0.0005,5.944962244483649e-06,6.43317429768952,3.576927854465939
14.0,0.028923076923076923,8.669275326025949e-09,7.244704098941866e-08,-7.39231874203961e-10,0.0005,6.124922248406035e-06,7.158050905705937,3.3839444586878864
14.0,0.031461538461538464,6.535707544998274e-09,7.206921351259341e-08,2.6378473948384293e-10,0.0005,4.43545596145795e-06,6.625964298197285,2.9773125161689666
14.0,0.034,7.881612724908808e-09,7.238278199314505e-08,1.4773603199473327e-10,0.0005,5.127274005597001e-06,7.698784807013463,2.659504477368961
14.0,0.03653846153846154,1.179118569365305e-08,7.066620047851096e-08,1.1347860246188684e-09,0.0005,5.710324138952887e-06,8.731334728725276,3.093329610662837
14.0,0.03907692307692308,5.330835901066311e-09,7.243561695901638e-08,3.238843101268617e-10,0.0005,2.59060389145656e-06,6.289568722314175,2.695153940206782
14.0,0.04161538461538462,5.623048049424682e-09,7.38027084746221e-08,-1.3686156685217155e-09,0.0005,3.122069912086819e-06,7.353180465281601,2.0799425559415012
14.0,0.044153846153846155,1.2818573023396795e-08,7.329226640183018e-08,-1.5756454087493387e-09,0.0005,5.300424225261882e-06,10.165385552671406,2.4809725948495442
14.0,0.04669230769230769,9.435045183794998e-09,7.13996632770444e-08,-2.7782296833318565e-10,0.0005,4.377275822311787e-06,9.7689366989506,1.9773310633310757
14.0,0.04923076923076923,9.368539269911846e-09,7.313139484132481e-08,-2.7867049371893154e-10,0.0005,4.322890993436207e-06,10.235846487143652,1.7883575371763565
14.0,0.05176923076923077,1.043826001109456e-08,7.244211043083485e-08,2.251580291712817e-09,0.0005,3.991738978544108e-06,10.343148959728673,1.9514280696645057
14.0,0.05430769230769231,1.1007273947147917e-08,7.218120180336366e-08,-9.676738949075858e-10,0.0005,3.8496056341806445e-06,10.65539292820058,1.9389688502637146
14.0,0.056846153846153845,1.4594616031502826e-08,7.331510991056756e-08,-9.61973669735396e-10,0.0005,4.3701710172273406e-06,11.883662312044168,2.06691237116226
14.0,0.05938461538461538,2.1686749073126085e-08,7.306889840148025e-08,-1.6727174303244905e-09,0.0005,5.68596110498306e-06,14.16041202889034,2.1630804369009056
