num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea,Reynolds number,C_d,Refinement
15.0,0.001,-7.04287513762434e-11,7.827216839668443e-08,1.6136837360359022e-12,0.0005,5.3257419428627035e-06,0.2307756907228901,-26.448428080759168,1.0
15.0,0.001,-1.806848624674684e-08,1.0388065711824601e-07,3.7377614278011385e-09,0.0005,5.3257419428627035e-06,0.2307756907228901,-6785.340499256197,2.0
15.0,0.001,1.3185015587488338e-10,7.840568371567681e-08,3.2095817152311952e-12,0.0005,5.3257419428627035e-06,0.2307756907228901,49.5142863809173,3.0
15.0,0.001,1.0903799774677396e-09,7.758448213787308e-08,1.610546369235352e-09,0.0005,5.3257419428627035e-06,0.2307756907228901,409.4753328891623,4.0
15.0,0.013794871794871794,8.293167021281574e-10,7.833236921873047e-08,-1.562073454026714e-11,0.0005,5.3257419428627035e-06,3.183521066895253,1.636571377405498,1.0
15.0,0.013794871794871794,-1.6512463072300285e-08,1.0390687875886474e-07,3.6993013455137043e-09,0.0005,5.3257419428627035e-06,3.183521066895253,-32.58565077158642,2.0
15.0,0.013794871794871794,2.6538093007330265e-10,7.831224949886601e-08,-2.526642347673817e-11,0.0005,5.3257419428627035e-06,3.183521066895253,0.5237020225840101,3.0
15.0,0.013794871794871794,1.4440308427316734e-09,7.77323225088332e-08,1.5221307747178837e-09,0.0005,5.3257419428627035e-06,3.183521066895253,2.849646629859136,4.0
15.0,0.02658974358974359,2.536375404708452e-09,7.816165939122415e-08,-2.2822531926828346e-11,0.0005,5.3257419428627035e-06,6.136266443067616,1.3472094207615342,1.0
15.0,0.02658974358974359,-1.4232627227922967e-08,1.0375745017054785e-07,3.6743360007079218e-09,0.0005,5.3257419428627035e-06,6.136266443067616,-7.559736404969976,2.0
15.0,0.02658974358974359,-1.787060322237744e-09,7.784207419042884e-08,-6.432212060041523e-11,0.0005,5.3257419428627035e-06,6.136266443067616,-0.9492066896400815,3.0
15.0,0.02658974358974359,2.435173822960986e-10,7.804694270192232e-08,1.4040529774302877e-09,0.0005,5.3257419428627035e-06,6.136266443067616,0.12934556569957062,4.0
15.0,0.039384615384615386,4.912713078532855e-09,7.78678595431609e-08,-4.0395035939934733e-11,0.0005,5.3257419428627035e-06,9.08901181923998,1.1893729571965017,1.0
15.0,0.039384615384615386,-1.0784859793991155e-08,1.0360085596457055e-07,3.5886363106481316e-09,0.0005,5.3257419428627035e-06,9.08901181923998,-2.6110257979811977,2.0
15.0,0.039384615384615386,-3.567222291042393e-09,7.747381864632325e-08,-8.68078399996827e-11,0.0005,5.3257419428627035e-06,9.08901181923998,-0.8636282350406344,3.0
15.0,0.039384615384615386,-1.8889818676547933e-09,7.839703990025741e-08,1.2503465005801217e-09,0.0005,5.3257419428627035e-06,9.08901181923998,-0.4573244791845474,4.0
15.0,0.05217948717948718,8.150457768393357e-09,7.77371582002226e-08,-7.541804682740825e-11,0.0005,5.3257419428627035e-06,12.041757195412343,1.1241707084016752,1.0
15.0,0.05217948717948718,-6.359693186783016e-09,1.0337787748486653e-07,3.466203966230365e-09,0.0005,5.3257419428627035e-06,12.041757195412343,-0.8771753683244321,2.0
15.0,0.05217948717948718,-8.909561139896518e-09,7.652932130319408e-08,-1.6865329559070883e-10,0.0005,5.3257419428627035e-06,12.041757195412343,-1.2288717938059897,3.0
15.0,0.05217948717948718,-3.984044223148215e-09,7.880457602324988e-08,1.1161143600346016e-09,0.0005,5.3257419428627035e-06,12.041757195412343,-0.5495084992659247,4.0
15.0,0.06497435897435898,1.2508654147744071e-08,7.784916466425377e-08,-2.2296696750534285e-10,0.0005,5.3257419428627035e-06,14.994502571584707,1.1126958146443158,1.0
