num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea,Reynolds number,C_d
25.0,0.001,8.915622458035416e-10,1.2911405416895013e-07,8.584710976408948e-10,0.0005,8.185956828503594e-06,0.28611111178183196,217.82725330265896
25.0,0.035448275862068966,1.2788857851125837e-08,1.2795236883376157e-07,9.871474843022257e-10,0.0005,6.829992200748751e-06,9.264142370612266,2.9802405158295637
25.0,0.06989655172413793,4.507198726441646e-08,1.3541782531752656e-07,1.8460409046828157e-09,0.0005,8.671049005199718e-06,20.582189438778375,2.1279114934376464
25.0,0.10434482758620689,5.392920133285035e-08,1.2453180895722588e-07,-4.602296656770104e-09,0.0005,6.158741336471998e-06,25.895059185117262,1.6084966782234373
25.0,0.13879310344827586,5.7518161918730065e-08,1.3219057247942097e-07,6.567775913670947e-09,0.0005,5.293772181451803e-06,31.933793346804887,1.1280646075876941
25.0,0.17324137931034483,1.5337646241806456e-07,1.8023309371435994e-07,-3.4539083955594406e-08,0.0005,8.332392938281062e-06,50.007656633800785,1.2266359944757101
25.0,0.20768965517241378,1.7119499496075794e-07,1.2361596230287098e-07,3.816053238161401e-09,0.0005,8.260297367965052e-06,59.69152938526584,0.9609386169594367
25.0,0.24213793103448275,2.506746320244009e-07,1.4173629420963838e-07,-3.0937680140828796e-08,0.0005,6.798072758024762e-06,63.13289889548618,1.2578501876324042
25.0,0.2765862068965517,1.6506560856222043e-07,9.995256191201834e-08,-7.081877507340128e-08,0.0005,5.908741210532038e-06,67.23230533608493,0.7303492487580066
25.0,0.31103448275862067,5.574786904700661e-07,1.2661378008795417e-07,6.191756554764229e-08,0.0005,9.982137715313998e-06,98.2698556768892,1.1545629860472821
25.0,0.34548275862068967,5.638930268396436e-07,9.887009708888684e-08,2.4244508917615824e-08,0.0005,7.503593307434788e-06,94.63701257854547,1.2592288783647492
25.0,0.3799310344827586,4.886344804429165e-07,2.948534866715729e-07,4.7358515639488416e-08,0.0005,7.861963369549137e-06,106.52959554203055,0.8611395763170171
25.0,0.41437931034482756,3.8746177728827024e-07,6.425358159532049e-08,9.58615356509902e-08,0.0005,6.1339253248315685e-06,102.6283402907244,0.7357398015391033
25.0,0.44882758620689656,4.825529166211857e-07,3.1347040032126904e-07,6.918628344347867e-08,0.0005,6.548524696340484e-06,114.85536250867051,0.7315977932229896
25.0,0.4832758620689655,8.75225806625234e-07,2.438361398390103e-07,-4.212405163877681e-08,0.0005,7.755543579728853e-06,134.58641517683117,0.9663793904140161
25.0,0.5177241379310344,7.571930602615532e-07,2.1947173262394705e-07,1.478324635571055e-08,0.0005,7.386327304657046e-06,140.70602291266508,0.7649115963931912
25.0,0.5521724137931034,1.0795818585975109e-06,3.366273175886353e-07,-1.776726257034334e-08,0.0005,6.8796762962365635e-06,144.83005908566528,1.029362062105425
25.0,0.5866206896551724,1.7785916867751384e-06,1.9578435439319763e-07,-4.693245468746415e-07,0.0005,8.952062745941006e-06,175.51689805109467,1.1546979210583337
25.0,0.6210689655172413,1.548324468748399e-06,-1.816412671752827e-07,7.699717407576125e-08,0.0005,6.1114604747896704e-06,153.53674596742692,1.3136126100700793
25.0,0.6555172413793103,9.075268954431985e-07,3.6352066182256336e-07,-9.226522938094833e-09,0.0005,6.604806920453891e-06,168.46674396323255,0.6395303154800515
25.0,0.6899655172413793,2.247573802163598e-06,-1.1333894666404918e-08,-2.3565086682345013e-07,0.0005,6.917742610973936e-06,181.4719834073338,1.3649752764916523
25.0,0.7244137931034482,1.6223492275555074e-06,5.134850965048682e-07,3.2662594612972785e-08,0.0005,6.460774327852163e-06,184.1318839329458,0.9570097199248369
25.0,0.7588620689655172,2.5070114519686567e-06,-9.44535158616429e-08,3.900724479586517e-08,0.0005,8.389182768618847e-06,219.79746215164124,1.0378652384525935
25.0,0.7933103448275862,2.102094596804442e-06,-9.264628788949352e-08,-2.9725842769555615e-07,0.0005,5.439756297191136e-06,185.02603376880765,1.2280514800494218
25.0,0.8277586206896551,2.099552431188881e-06,-6.526363974035368e-07,-1.0251746856962885e-06,0.0005,7.1634935657410695e-06,221.54714100747202,0.8555086800117279
25.0,0.8622068965517241,3.466645841494292e-06,-4.5352573371312365e-07,-8.468070572540871e-07,0.0005,7.80517565086674e-06,240.8811594094455,1.1949061753670291
25.0,0.8966551724137931,3.341247451633493e-06,8.06820703681604e-07,6.742582949240919e-07,0.0005,7.391028068057858e-06,243.76866777273287,1.1245606127813421
25.0,0.9311034482758621,2.8139409134983984e-06,-1.28919785217131e-07,-2.4846936184015076e-07,0.0005,8.454467709205916e-06,270.7329215661759,0.7678260279300958
25.0,0.965551724137931,2.794251843419497e-06,-1.2706790309576195e-07,7.646386477548357e-07,0.0005,7.490130194763918e-06,264.25318291113854,0.8003041844926337
25.0,1.0,2.790241116243455e-06,-9.457803647135987e-08,-1.582484946225622e-06,0.0005,7.158739710743539e-06,267.55821255838026,0.7795341719314022
24.0,0.001,1.1010578400693297e-09,1.2354069138650854e-07,5.148212962721957e-10,0.0005,6.201561292811007e-06,0.24902934150037434,355.09052900781666
24.0,0.035448275862068966,9.931215721434552e-09,1.2253001461883568e-07,-1.825273209841253e-10,0.0005,5.3567081809205625e-06,8.204348704961504,2.9508299982802657
24.0,0.06989655172413793,3.2769538004350725e-08,1.212590933504694e-07,-4.4476956312067585e-09,0.0005,6.66349511235784e-06,18.042918713159736,2.0131991074113897
24.0,0.10434482758620689,5.5324279010413786e-08,1.2386484533438754e-07,3.3345004081874305e-10,0.0005,5.770907689853613e-06,25.066459093480134,1.7610017172942647
24.0,0.13879310344827586,8.132242277687954e-08,1.1583094303065894e-07,-8.464837172492413e-09,0.0005,6.9473114884403755e-06,36.582743536294046,1.2153119255728448
24.0,0.17324137931034483,1.237404488491838e-07,1.2758485525782486e-07,3.6594125310245147e-08,0.0005,6.546174339323339e-06,44.32466036306781,1.2596527805480753
24.0,0.20768965517241378,2.5938142070278827e-07,1.569392300626654e-07,-6.525926693012782e-08,0.0005,9.413783534939953e-06,63.72311084828468,1.277541221456298
24.0,0.24213793103448275,2.0809752095873695e-07,8.157477348180428e-08,3.297507445397663e-08,0.0005,6.5823436423437905e-06,62.12309767562963,1.078426859936855
24.0,0.2765862068965517,4.3460738787346704e-07,1.8577383329802927e-07,3.615616322889004e-08,0.0005,9.695463437728802e-06,86.12213843171268,1.171918716737344
24.0,0.31103448275862067,2.7716999795216533e-07,1.5214902017198892e-07,6.237889106804897e-08,0.0005,6.106706613045164e-06,76.86206840240712,0.9383223900344784
24.0,0.34548275862068967,2.1439199607484067e-07,7.743060334113281e-08,3.1215285956243916e-10,0.0005,5.888625750374153e-06,83.83654178580066,0.6100590192885488
24.0,0.3799310344827586,6.141477298438536e-07,4.135006344370614e-08,-6.070548889746427e-08,0.0005,8.003646244256628e-06,107.48521080965605,1.0631766292239928
24.0,0.41437931034482756,4.75018301009689e-07,1.0621461794306418e-07,8.383938388736838e-08,0.0005,6.359110231993882e-06,104.49517555468705,0.8700573051546912
24.0,0.44882758620689656,9.087301245450552e-07,-1.3247710790922525e-07,-1.0269322807083992e-07,0.0005,7.492241753396954e-06,122.85290581581157,1.2041873328563026
24.0,0.4832758620689655,8.313224394536662e-07,2.2376805929912103e-07,3.1708203939512564e-09,0.0005,7.489891362975751e-06,132.26132326078044,0.950459841846126
24.0,0.5177241379310344,1.2859542246895073e-06,1.2186891683783944e-07,-3.5803037735265537e-07,0.0005,7.778462952015776e-06,144.39272329344274,1.2335731001813761
24.0,0.5521724137931034,1.6455954024089151e-06,6.116718966839717e-08,2.220844811542848e-07,0.0005,8.31417601919667e-06,159.21512168464668,1.2983280343959804
24.0,0.5866206896551724,1.8718684313659608e-06,-2.1615797658769328e-07,-1.3832172782616968e-07,0.0005,9.006048719778115e-06,176.04533536625144,1.2079703413862644
24.0,0.6210689655172413,1.5459016510245566e-06,1.2856295560127016e-07,1.8786781562179848e-07,0.0005,7.41779435655279e-06,169.15203342528116,1.0805812084823228
24.0,0.6555172413793103,1.78144597821833e-06,3.112711035282934e-07,1.7008262502031896e-07,0.0005,7.728776988841503e-06,182.23823770186274,1.0728120395639378
24.0,0.6899655172413793,1.943718731900372e-06,-2.0976592151120575e-07,-4.5724714439317915e-07,0.0005,8.393430226085368e-06,199.8927894925735,0.9729021397052376
24.0,0.7244137931034482,2.0712556652979514e-06,5.03273777253471e-07,-3.439864595916343e-07,0.0005,6.298524816100318e-06,181.805129872202,1.253289607597634
24.0,0.7588620689655172,1.5642262139809388e-06,3.3016534603012695e-07,-2.2325945061403922e-07,0.0005,5.624471676006058e-06,179.97149014746964,0.9658776797968802
24.0,0.7933103448275862,1.928213213805778e-06,5.285330015165386e-08,-1.3377576862872688e-07,0.0005,6.325292407076535e-06,199.51861483723258,0.9687644830510501
24.0,0.8277586206896551,2.9356926736181063e-06,3.1801612524103186e-07,1.5737564515240735e-07,0.0005,8.359559615819526e-06,239.32904731670658,1.025061118345419
24.0,0.8622068965517241,2.6598662212660136e-06,3.1541991193043144e-07,5.653487605119614e-07,0.0005,6.079540219564938e-06,212.5919719145773,1.1770531375127988
24.0,0.8966551724137931,3.564551948773463e-06,1.0705368052291721e-06,5.536005340083008e-07,0.0005,7.273255352178703e-06,241.8186964288187,1.2191445250491406
24.0,0.9311034482758621,3.8104920389855905e-06,-6.343727647410599e-07,-2.4132010873902266e-08,0.0005,7.863861510195482e-06,261.1054057851248,1.11783918048914
24.0,0.965551724137931,4.6315679429819795e-06,-5.0292888812184314e-08,-3.102651171552675e-07,0.0005,8.359559400150048e-06,279.1690300966145,1.1885667029327827
24.0,1.0,2.3518850667400693e-06,3.741542956399969e-07,5.179540838436344e-07,0.0005,5.406391994393346e-06,232.51649391803033,0.8700386761370882
